main_colno	code	quality	ref	length	variant	genus	spec_epithet	cf	pair_name	survey	country	province	region	city	elev	lon	lat	prec	remark	genbank_id	sporocarp_sample_by	sporocarp_sample_date	dna_sample_by	dna_sample_date	pcr_by	pcr_date	seq_date	submitter	submit_date	ref_person	ref_date	author	doi	n_ch	loc_code	distance	direction	topo	habitat	local	specimen_id	locality_id
LE47491	SSU	NA	Undefined	2504	NA	Physarum	notabile	FALSE	Unknown SSU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	JX035988	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	Oleg Shchepin	2021-12-27	Y.K. Novozhilov	NA	NA	tmp	NA	NA	NA	NA	NA	11354	1553
LE255719	SSU	NA	Undefined	1854	NA	Physarum	pseudonotabile	FALSE	Unknown SSU	SDakota_2007	USA	South Dakota	Badlands National Park	Jackson	732	-104.641389	 44.077500	50.0	NA	JX035983	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	Y.K. Novozhilov	NA	NA	SDakota_2007_x1	NA	NA	Cactus Flats	mixed grass litter, in moist chamber	NA	11197	1704
LE255712	SSU	NA	Undefined	1873	NA	Physarum	pseudonotabile	FALSE	Unknown SSU	Texas_2005	USA	Texas	Big Bend National Park; riparian vegetation	Rio Grande village	560	-103.595000	 29.300556	50.0	NA	JX035985	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	Y.K. Novozhilov	NA	NA	Texas_2005_x1	NA	NA	NA	on twigs litter of Acacia sp., in moist chamber	NA	11193	1707
LE255714	SSU	NA	Undefined	1875	NA	Physarum	pseudonotabile	FALSE	Unknown SSU	Texas_2005	USA	Texas	Big Bend National Park; riparian vegetation	Bahada	560	-103.063889	 29.339722	50.0	NA	JX035987	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	Y.K. Novozhilov	NA	NA	Texas_2005_x2	NA	NA	NA	on bark of living tree in moist chamber, oak-dominated woodland	NA	11194	1708
LE255139	SSU	NA	Undefined	528	NA	Kelleromyxa	fimicola	FALSE	S1 / SU19R	Altai_2008	Russia	Altay Republic	Ulaganskiy Raion	Aktash	1530	  87.475400	 50.333200	75.0	NA	JX312801	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	D.A. Erastova	NA	NA	Altai_2008_26	32000	NNE	Aktash	mountaineous meadow at a former clearcut in dry tamarack forest	Central Altay Mts., valley of the Saryachik river	11170	1622
LE274202	SSU	NA	Undefined	486	NA	Kelleromyxa	fimicola	FALSE	S1 / SU19R	Kaz_2008	Kazakhstan	West Kazakhstan region	Elton	Djianybek	26	  46.475200	 49.235300	25.0	NA	JX312802	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	D.A. Erastova	NA	NA	Kaz_2008_2184	4600	SW	Djianybeks stationar	NA	Caspian Lowland, depression, desert steppe reservation, sbor 155	11181	1679
LE274210	SSU	NA	Undefined	581	NA	Kelleromyxa	fimicola	FALSE	S1 / SU19R	Kaz_2008	Kazakhstan	West Kazakhstan region	Elton	Djianybek	26	  46.475200	 49.235300	25.0	NA	JX312803	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	D.A. Erastova	NA	NA	Kaz_2008_2184	4600	SW	Djianybeks stationar	NA	Caspian Lowland, depression, desert steppe reservation, sbor 155	11182	1679
LE274205	SSU	NA	Undefined	4812	NA	Kelleromyxa	fimicola	FALSE	Unknown SSU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	JX312804	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	D.A. Erastova	NA	NA	tmp	NA	NA	NA	NA	NA	11318	1553
LE255438	SSU	NA	Undefined	1842	NA	Physarum	pseudonotabile	FALSE	Unknown SSU	Kaz_2006	Kazakhstan	Atyrau region	Inderborskii	Inderborskii	-15	  51.513200	 48.233600	25.0	NA	JQ478431	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	Y.K. Novozhilov	NA	NA	Kaz_2006_2064	20000	SO	Inder lake	NA	Caspian Lowland, plain, desert steppe, south bank Inder lake, sbor 50	11179	1669
LE259254	SSU	NA	Undefined	652	NA	Reticularia	splendens	FALSE	S1 / SR4Bright	Novosibirsk_2008	Russia	Novosibirskaia oblast'	NA	Novosibirsk	200	  83.125278	 54.828889	25.0	NA	KF544755	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	D.V. Leontyev	NA	NA	Novosibirsk_2008_6	NA	NA	settlement Akademgorodok, Central Siberian Botanical Garden	mixed moist pine-birch-poplar forest, very moist soil, a lot suply of fallen poplar and bird cherry trees	Ob' lowland	11228	1693
LE285173	SSU	NA	Undefined	564	NA	Diderma	alpinum	FALSE	S1 / SU19R	TebNivi_11	Russia	Karachaevo-Cherkesia	Northern Caucasus	Teberda	2585	41.691500	43.426333	25.0	NA	KR029639	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	D.A. Erastova	NA	NA	TebNivi49	5200.0	W	Teberda Nature Biospheric Reserve, ascent to Bolshaya Khatipara summit	S-exp. snowfields near the ridge crest, ca. 1.4 km upwards from upper loghouse, depression behind a solitary pine	S-exp. snowfields near the ridge crest, ca. 1.4 km upwards from upper loghouse, depression behind a solitary pine	7382	597
LE285205	SSU	NA	Undefined	560	NA	Diderma	alpinum	FALSE	S1 / SU19R	TebNivi_11	Russia	Karachaevo-Cherkesia	Northern Caucasus	Teberda	2429	41.703167	43.425167	25.0	NA	KR029640	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	D.A. Erastova	NA	NA	TebNivi40	4500.0	W	Teberda Nature Biospheric Reserve, ascent to Bolshaya Khatipara summit	snowfields with Rhododendron thickets ca. 350 m upwards from upper loghouse	snowfields with Rhododendron thickets ca. 350 m upwards from upper loghouse	7414	587
LE285235	SSU	NA	Undefined	562	NA	Diderma	alpinum	FALSE	S1 / SU19R	TebNivi_11	Russia	Karachaevo-Cherkesia	Northern Caucasus	Teberda	2410	41.705333	43.424833	25.0	NA	KR029641	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	D.A. Erastova	NA	NA	TebNivi28	4400.0	W	Teberda Nature Biospheric Reserve, ascent to Bolshaya Khatipara summit	Rhododendron thickets near the upper loghouse, N-exp. slope	Rhododendron thickets near the upper loghouse, N-exp. slope	7442	573
LE285239	SSU	NA	Undefined	566	NA	Diderma	alpinum	FALSE	S1 / SU19R	TebNivi_11	Russia	Karachaevo-Cherkesia	Northern Caucasus	Teberda	2431	41.703167	43.425167	25.0	NA	KR029642	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	D.A. Erastova	NA	NA	TebNivi30	4500.0	W	Teberda Nature Biospheric Reserve, ascent to Bolshaya Khatipara summit	snowfield in depression 250 m upwards from upper loghouse	snowfield in depression 250 m upwards from upper loghouse	7446	576
LE285241	SSU	NA	Undefined	574	NA	Diderma	alpinum	FALSE	S1 / SU19R	TebNivi_11	Russia	Karachaevo-Cherkesia	Northern Caucasus	Teberda	2474	41.702333	43.425500	25.0	NA	KR029643	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	D.A. Erastova	NA	NA	TebNivi42	4500.0	W	Teberda Nature Biospheric Reserve, ascent to Bolshaya Khatipara summit	snowfield at upper N-exp slope, 500 m upwards from upper loghouse, at the first steep ascent	snowfield at upper N-exp slope, 500 m upwards from upper loghouse, at the first steep ascent	7448	589
LE285243	SSU	NA	Undefined	572	NA	Diderma	meyerae	FALSE	S1 / SU19R	TebNivi_11	Russia	Karachaevo-Cherkesia	Northern Caucasus	Teberda	2431	41.703167	43.425167	25.0	NA	KR029644	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	D.A. Erastova	NA	NA	TebNivi30	4500.0	W	Teberda Nature Biospheric Reserve, ascent to Bolshaya Khatipara summit	snowfield in depression 250 m upwards from upper loghouse	snowfield in depression 250 m upwards from upper loghouse	7450	576
LE285698	SSU	NA	Undefined	559	NA	Diderma	alpinum	FALSE	S1 / SU19R	TebNivi_10	Russia	Karachaevo-Cherkesia	Northern Caucasus	Teberda	2541	41.700633	43.425750	25.0	NA	KR029645	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	D.A. Erastova	NA	NA	TebNivi3	4500.0	W	Teberda Nature Biospheric Reserve, ascent to Bolshaya Khatipara summit	snowfield, steep N-exp. slope, subalpine Rhododendron thickets	snowfield, steep N-exp. slope, subalpine Rhododendron thickets	7536	575
LE285705	SSU	NA	Undefined	564	NA	Diderma	alpinum	FALSE	S1 / SU19R	TebNivi_10	Russia	Karachaevo-Cherkesia	Northern Caucasus	Teberda	2541	41.700633	43.425750	25.0	NA	KR029646	NA	NA	NA	NA	NA	NA	NA	Oleg Shchepin	2021-12-27	NA	NA	D.A. Erastova	NA	NA	TebNivi3	4500.0	W	Teberda Nature Biospheric Reserve, ascent to Bolshaya Khatipara summit	snowfield, steep N-exp. slope, subalpine Rhododendron thickets	snowfield, steep N-exp. slope, subalpine Rhododendron thickets	7544	575
